step,episode/action_changes,episode/actions_mean,episode/actions_std,episode_perf/constraint_index,episode_perf/energy_index,episode_perf/time_index,eval/episode_perf/constraint_index,eval/episode_perf/energy_index,eval/episode_perf/time_index,eval/max_reward_step_by_step,eval/mean_episode_reward,eval/mean_reward_step_by_step,eval/min_reward_step_by_step,eval/num_episodes_completed,eval/std_episode_reward,eval/std_reward_step_by_step,eval/total_reward_steps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss,train/std,train/value_loss,episode/real_actions_Th_max,episode/real_actions_Th_mean,episode/real_actions_Th_min,episode/real_actions_Th_std,episode/real_actions_dt_max,episode/real_actions_dt_mean,episode/real_actions_dt_min,episode/real_actions_dt_std,eval/mean_ep_length,eval/mean_reward,eval/mean_reward_parent_check,actions/dim_0_autocorrelation,actions/dim_0_dynamic_range,actions/dim_10_autocorrelation,actions/dim_10_dynamic_range,actions/dim_11_autocorrelation,actions/dim_11_dynamic_range,actions/dim_12_autocorrelation,actions/dim_12_dynamic_range,actions/dim_13_autocorrelation,actions/dim_13_dynamic_range,actions/dim_14_autocorrelation,actions/dim_14_dynamic_range,actions/dim_15_autocorrelation,actions/dim_15_dynamic_range,actions/dim_1_autocorrelation,actions/dim_1_dynamic_range,actions/dim_2_autocorrelation,actions/dim_2_dynamic_range,actions/dim_3_autocorrelation,actions/dim_3_dynamic_range,actions/dim_4_autocorrelation,actions/dim_4_dynamic_range,actions/dim_5_autocorrelation,actions/dim_5_dynamic_range,actions/dim_6_autocorrelation,actions/dim_6_dynamic_range,actions/dim_7_autocorrelation,actions/dim_7_dynamic_range,actions/dim_8_autocorrelation,actions/dim_8_dynamic_range,actions/dim_9_autocorrelation,actions/dim_9_dynamic_range,actions/entropy,actions/stability
8192,32.343441009521484,0.2306427061557769,0.9626163840293884,0.2754956185817718,1.215173363685608,0.8363866806030273,0.682930588722229,1.3840279579162598,0.896955668926239,0.6291751861572266,-799.2115478515625,-0.0290342662483453,-0.2020124793052673,39.0,232.1443023681641,0.0461691655218601,8192.0,173.46153259277344,-740.8067411256665,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16384,78.30775451660156,-0.1683487594127655,1.009177803993225,0.624495267868042,1.1442912817001345,0.7514023780822754,0.698466956615448,1.3726483583450315,0.8352702260017395,0.5300186276435852,-765.7322998046875,-0.0234320387244224,-0.1580138802528381,47.0,208.6561279296875,0.0447375960648059,8192.0,172.38372802734375,-720.5015141422264,36.0,0.0065368041396141,0.047863770276308,0.2000000029802322,-2.827924966812134,-0.0102196931838989,0.0009918247815221,0.0506388135254383,-0.0043819970451295,0.9955793619155884,0.1655585765838623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24576,119.5525894165039,0.0346202589571476,1.182504177093506,0.6943146586418152,1.2650041580200195,0.9331203699111938,0.7878288626670837,1.3992582559585571,0.8184150457382202,0.5331318974494934,-824.248046875,-0.0245686825364828,-0.1759383827447891,47.0,201.9310913085937,0.0459331236779689,8192.0,174.36000061035156,-712.0668778850755,36.0,0.0052465251646935,0.0443969741463661,0.2000000029802322,-2.8318588733673096,0.69281005859375,0.0009836831595748,0.0188027955591678,-0.0029361003544181,0.999525785446167,0.0851855278015136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32768,100.78002166748048,0.032143484801054,0.9149664044380188,1.4412155151367188,1.6323297023773191,0.8677236437797546,0.8182322978973389,1.395944595336914,0.7852116823196411,0.53020840883255,-827.8938598632812,-0.0252358485013246,-2.77415132522583,46.0,203.522201538086,0.0540635846555233,8192.0,177.41000366210938,-704.5276983572322,36.0,0.0053934729658067,0.0416748039424419,0.2000000029802322,-2.81602430343628,0.858511745929718,0.0009755750070326,0.022703917697072,-0.0035388807300478,0.98336660861969,0.0615441687405109,30.0,16.139989852905273,4.0,9.53382396697998,4.0,2.320937156677246,0.5999999046325684,1.2219910621643066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40960,589.6146850585938,-0.1014573723077774,1.0211669206619265,0.7430276274681091,1.303928256034851,0.7242268919944763,0.7793691754341125,1.410475730895996,0.7330679893493652,0.533270537853241,-791.2772216796875,-0.0230912342667579,-0.1827212423086166,45.0,224.35397338867188,0.0442046709358692,8192.0,177.85000610351562,-716.6414197872292,37.0,0.0069516953080892,0.0512451156973838,0.2000000029802322,-2.7907943725585938,0.921567976474762,0.0009675004403106,0.0089405355975031,-0.0045517003163695,0.9730337262153624,0.0641528889536857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49152,67.3091049194336,-0.0961217358708381,0.9477270841598512,0.9814940094947816,1.5033198595046997,0.7998868227005005,0.7946716547012329,1.360884666442871,0.6827574372291565,0.5334371328353882,-753.9087524414062,-0.0239884015172719,-0.1954608261585235,49.0,199.7631225585937,0.0463279969990253,8192.0,174.8800048828125,-687.1347657887784,37.0,0.0073677105829119,0.0655273422598838,0.2000000029802322,-2.7563047409057617,0.94394451379776,0.0009594594594091,0.0080674430355429,-0.0049967062659561,0.9537073373794556,0.0518340617418289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,258.5943298339844,0.1843603998422622,0.986363172531128,1.2358359098434448,1.764983057975769,0.8780946135520935,,,,,,,,,,,,,,,0.006606662645936,0.0814331024885177,0.2000000029802322,-2.7277393341064453,0.951751947402954,0.0009514520061202,0.0136654144152998,-0.0051175295375287,0.942824125289917,0.0473244525492191,,,,,,,,,182.0625,-548.6001345574778,-inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57344,72.70208740234375,0.0577451549470424,1.078935980796814,1.1463837623596191,1.4030961990356443,0.8106953501701355,0.8017449975013733,1.4096029996871948,0.6560352444648743,0.536276638507843,-773.5477905273438,-0.024356547743082,-0.1652938425540924,46.0,189.07830810546875,0.0457615926861763,8192.0,171.10000610351562,-670.1669181309242,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65536,346.3391418457031,0.1204699426889419,1.0297306776046753,0.7337826490402222,1.474092960357666,0.7614750862121582,0.7702675461769104,1.3824265003204346,0.6108594536781311,0.537692129611969,-724.9592895507812,-0.0230805221945047,-0.4941548109054565,52.0,202.5557098388672,0.0482117794454097,8192.0,167.91000366210938,-673.5715659667436,37.0,0.010890943929553,0.0923339873552322,0.2000000029802322,-2.681935310363769,0.9578317999839784,0.000943478080444,-0.0008412897586822,-0.0081806750968098,0.91826069355011,0.0393111295998096,30.0,16.058244705200195,4.0,9.466114044189451,4.0,2.4155824184417725,0.5999999046325684,1.203365445137024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73728,601.66455078125,0.0614769756793975,0.9837668538093568,0.785055935382843,1.2392981052398682,0.5698027610778809,0.7235427498817444,1.3451274633407593,0.6155731678009033,0.5378113389015198,-686.7166748046875,-0.0236994121223688,-0.4730830490589142,52.0,203.375717163086,0.0475336872041225,8192.0,162.67999267578125,-647.2302239494674,37.0,0.0111651914194226,0.1015136688947677,0.2000000029802322,-2.632272958755493,0.9475502967834472,0.0009355377405881,0.0021757986396551,-0.0082090701907873,0.895466685295105,0.04938929900527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
