step,episode/action_changes,episode/actions_mean,episode/actions_std,episode_perf/constraint_index,episode_perf/energy_index,episode_perf/time_index,eval/episode_perf/constraint_index,eval/episode_perf/energy_index,eval/episode_perf/time_index,eval/max_reward_step_by_step,eval/mean_episode_reward,eval/mean_reward_step_by_step,eval/min_reward_step_by_step,eval/num_episodes_completed,eval/std_episode_reward,eval/std_reward_step_by_step,eval/total_reward_steps,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,episode/real_actions_Th_max,episode/real_actions_Th_mean,episode/real_actions_Th_min,episode/real_actions_Th_std,episode/real_actions_dt_max,episode/real_actions_dt_mean,episode/real_actions_dt_min,episode/real_actions_dt_std,eval/mean_ep_length,eval/mean_reward,eval/mean_reward_parent_check
8192,32.343441009521484,0.23064270615577698,0.9626163840293884,0.27549561858177185,1.215173363685608,0.8363866806030273,0.682930588722229,1.3840279579162598,0.896955668926239,0.6291751861572266,-799.2115478515625,-0.029034266248345375,-0.20201247930526733,39.0,232.14430236816406,0.04616916552186012,8192.0,,,,,,,,,,,,,,,
16384,78.30775451660156,-0.1683487594127655,1.009177803993225,0.624495267868042,1.1442912817001343,0.7514023780822754,0.698466956615448,1.3726483583450317,0.8352702260017395,0.5300186276435852,-765.7322998046875,-0.023432038724422455,-0.15801388025283813,47.0,208.6561279296875,0.044737596064805984,8192.0,-2.827924966812134,0.05063881352543831,-0.004381997045129538,0.1655585765838623,,,,,,,,,,,
24576,119.5525894165039,0.0346202589571476,1.1825041770935059,0.6943146586418152,1.2650041580200195,0.9331203699111938,0.7878288626670837,1.3992582559585571,0.8184150457382202,0.5331318974494934,-824.248046875,-0.02456868253648281,-0.17593838274478912,47.0,201.93109130859375,0.04593312367796898,8192.0,-2.8318588733673096,0.018802795559167862,-0.0029361003544181585,0.08518552780151367,,,,,,,,,,,
32768,100.78002166748047,0.032143484801054,0.9149664044380188,1.4412155151367188,1.6323297023773193,0.8677236437797546,0.8182322978973389,1.395944595336914,0.7852116823196411,0.53020840883255,-827.8938598632812,-0.025235848501324654,-2.77415132522583,46.0,203.52220153808594,0.0540635846555233,8192.0,-2.8160243034362793,0.02270391769707203,-0.003538880730047822,0.06154416874051094,30.0,16.139989852905273,4.0,9.53382396697998,4.0,2.320937156677246,0.5999999046325684,1.2219910621643066,,,
40960,589.6146850585938,-0.1014573723077774,1.0211669206619263,0.7430276274681091,1.303928256034851,0.7242268919944763,0.7793691754341125,1.410475730895996,0.7330679893493652,0.533270537853241,-791.2772216796875,-0.023091234266757965,-0.18272124230861664,45.0,224.35397338867188,0.04420467093586922,8192.0,-2.7907943725585938,0.008940535597503185,-0.0045517003163695335,0.06415288895368576,,,,,,,,,,,
49152,67.3091049194336,-0.09612173587083817,0.9477270841598511,0.9814940094947815,1.5033198595046997,0.7998868227005005,0.7946716547012329,1.360884666442871,0.6827574372291565,0.5334371328353882,-753.9087524414062,-0.023988401517271996,-0.19546082615852356,49.0,199.76312255859375,0.046327996999025345,8192.0,-2.7563047409057617,0.008067443035542965,-0.004996706265956163,0.05183406174182892,,,,,,,,,,,
50000,258.5943298339844,0.18436039984226227,0.9863631725311279,1.2358359098434448,1.764983057975769,0.8780946135520935,,,,,,,,,,,,-2.7277393341064453,0.013665414415299892,-0.005117529537528753,0.04732445254921913,,,,,,,,,182.0625,-585.628173828125,-inf
57344,72.70208740234375,0.057745154947042465,1.078935980796814,1.1463837623596191,1.4030961990356445,0.8106953501701355,0.8017449975013733,1.4096029996871948,0.6560352444648743,0.536276638507843,-773.5477905273438,-0.024356547743082047,-0.1652938425540924,46.0,189.07830810546875,0.0457615926861763,8192.0,,,,,,,,,,,,,,,
65536,346.3391418457031,0.12046994268894196,1.0297306776046753,0.7337826490402222,1.474092960357666,0.7614750862121582,0.7702675461769104,1.3824265003204346,0.6108594536781311,0.537692129611969,-724.9592895507812,-0.023080522194504738,-0.49415481090545654,52.0,202.5557098388672,0.048211779445409775,8192.0,-2.6819353103637695,-0.000841289758682251,-0.008180675096809864,0.03931112959980965,30.0,16.058244705200195,4.0,9.466114044189453,4.0,2.4155824184417725,0.5999999046325684,1.203365445137024,,,
73728,601.66455078125,0.06147697567939758,0.9837668538093567,0.785055935382843,1.2392981052398682,0.5698027610778809,0.7235427498817444,1.3451274633407593,0.6155731678009033,0.5378113389015198,-686.7166748046875,-0.023699412122368813,-0.4730830490589142,52.0,203.37571716308594,0.04753368720412254,8192.0,-2.632272958755493,0.0021757986396551132,-0.008209070190787315,0.049389299005270004,,,,,,,,,,,
81920,29.150184631347656,0.1438378393650055,0.9938464164733887,0.70924973487854,1.2094959020614624,0.6157082319259644,0.7067548632621765,1.3207588195800781,0.5931834578514099,0.5415286421775818,-659.3018188476562,-0.022389939054846764,-0.6173343062400818,51.0,162.31533813476562,0.047360070049762726,8192.0,-2.6061770915985107,0.006807975471019745,-0.01005446258932352,0.04780310392379761,,,,,,,,,,,
