step,episode/action_changes,episode/actions_mean,episode/actions_std,episode_perf/constraint_index,episode_perf/energy_index,episode_perf/time_index,eval/episode_perf/constraint_index,eval/episode_perf/energy_index,eval/episode_perf/time_index,eval/max_reward_step_by_step,eval/mean_episode_reward,eval/mean_reward_step_by_step,eval/min_reward_step_by_step,eval/num_episodes_completed,eval/std_episode_reward,eval/std_reward_step_by_step,eval/total_reward_steps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,episode/real_actions_Qp_max,episode/real_actions_Qp_mean,episode/real_actions_Qp_min,episode/real_actions_Qp_std,episode/real_actions_R_max,episode/real_actions_R_mean,episode/real_actions_R_min,episode/real_actions_R_std,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss,train/std,train/value_loss,eval/mean_ep_length,eval/mean_reward,eval/mean_reward_parent_check,actions/dim_0_autocorrelation,actions/dim_0_dynamic_range,actions/dim_10_autocorrelation,actions/dim_10_dynamic_range,actions/dim_11_autocorrelation,actions/dim_11_dynamic_range,actions/dim_1_autocorrelation,actions/dim_1_dynamic_range,actions/dim_2_autocorrelation,actions/dim_2_dynamic_range,actions/dim_3_autocorrelation,actions/dim_3_dynamic_range,actions/dim_4_autocorrelation,actions/dim_4_dynamic_range,actions/dim_5_autocorrelation,actions/dim_5_dynamic_range,actions/dim_6_autocorrelation,actions/dim_6_dynamic_range,actions/dim_7_autocorrelation,actions/dim_7_dynamic_range,actions/dim_8_autocorrelation,actions/dim_8_dynamic_range,actions/dim_9_autocorrelation,actions/dim_9_dynamic_range,actions/entropy,actions/stability
9216,79.24408722,-0.008948062,1.00127399,0.566180944,0.771380305,0.634383678,1.388015747,0.909594536,0.651561677,5.090892315,-84.00852966,-0.060130365,-5.610221863,113,89.99285889,0.575790823,9216,77.79000092,-80.4936142,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18432,51.63937759,-0.047727201,0.992427051,1.276172996,0.848748267,0.632658243,1.775153041,0.919123948,0.649516881,4.854300499,-87.30278778,-0.050384115,-5.348873138,115,95.66496277,0.529672801,9216,79.05000305,-84.36307526,49,8,3.929884672,0,2.849021912,14,10.10646248,6,2.838059902,0.00027788,0,0.200000003,-2.837284327,-0.001443267,4.99E-05,2.210580349,-0.000311982,0.999046326,4.824088573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27648,64.36186218,0.084602155,1.238925934,2.029213428,1.042658567,0.666738451,1.276861072,0.8670277,0.643621683,4.543645382,-78.85617828,-0.042395983,-4.887231827,112,98.85076141,0.499477267,9216,83.41000366,-79.90219879,49,8,3.890095234,0,2.862132788,14,10.09011173,6,2.876894951,0.002741395,0.001576968,0.200000003,-2.833057404,0.020286798,4.98E-05,1.728705049,-0.001173171,0.996159792,3.659882069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36864,122.1575699,-0.032343589,0.985677183,0.275887072,0.765075147,0.664551675,1.284997821,0.851952612,0.634078324,4.282215595,-74.88913727,-0.035403658,-4.649053097,102,100.369545,0.458850145,9216,89.80999756,-73.51612091,49,8,3.792044878,0,2.840334892,14,10.11554337,6,2.883614063,0.003846638,0.011154514,0.200000003,-2.828804493,0.0730474,4.97E-05,1.409849167,-0.001862407,0.99480772,3.384796381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46080,826.677124,-0.046389781,1.009401798,1.017404437,1.070728302,0.705357611,1.240096211,0.848846316,0.635636389,4.240293503,-52.08189011,-0.022722322,-4.513661385,99,104.8365326,0.440076023,9216,91.01999664,-50.41760635,49,,,,,,,,,0.003352351,0.012941262,0.200000003,-2.826500177,0.206878841,4.96E-05,1.230110288,-0.001863475,0.993702471,2.841150761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49992,36.50366592,-0.109602012,1.127274871,1.101338029,0.657829165,0.637256026,,,,,,,,,,,,,,,8,3.684133291,0,2.839673996,14,10.18596649,6,2.865171194,0.002763072,0.0041739,0.200000003,-2.822835445,0.132481575,4.95E-05,1.530660868,-0.001133219,0.991125941,3.109560966,264.25,-231.8550262,#NOME?,,,,,,,,,,,,,,,,,,,,,,,,,,
55296,237.6268311,0.000427102,1.020777822,1.029250503,0.632652879,0.732457459,1.305712819,0.845528722,0.648023665,4.310223579,-61.93701172,-0.027560424,-4.538475513,100,104.10112,0.436241895,9216,93.80000305,-61.93701172,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64512,28.3159008,-0.163719192,0.988086164,0.793108165,0.778192222,0.575327516,1.325490952,0.839006722,0.641131222,4.07341814,-69.57484436,-0.027614543,-4.379457474,96,100.4023056,0.420924485,9216,96.16999817,-69.46369934,45,8,3.566009283,0,2.83270216,14,10.21427345,6,2.865689039,0.001188124,5.06E-05,0.200000003,-2.818825722,0.188851714,4.94E-05,1.136786938,-0.000357197,0.990090489,2.909073114,,,,1,6.628461361,1,6.756676674,1,6.480649471,1,6.666894913,-1,6.292247295,-1,7.242553711,1,6.201962948,-1,7.198924065,-1,7.511310101,1,7.021379471,1,7.726173878,-1,6.797684669,0,1.126578093
73728,141.5054932,-0.099834815,1.035934567,1.085619092,0.711941063,0.595774472,1.214604497,0.827671945,0.638591051,4.130470276,-41.92949677,-0.018514642,-4.424850941,95,112.5449677,0.420272738,9216,96.20999908,-40.16039658,46,8,3.469398499,0,2.825246572,14,10.22438622,6,2.860830307,0.004280279,0.018655961,0.200000003,-2.816480637,0.055062771,4.94E-05,1.343269706,-0.001827244,0.988134742,2.780989647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82944,193.3860474,-0.233280092,1.002285957,1.432257771,0.997074664,0.708888948,1.247456193,0.855866075,0.638395965,4.04272604,-40.41999817,-0.015656397,-4.313098907,92,103.6833038,0.407629907,9216,99.65000153,-40.06121826,46,,,,,,,,,0.003231488,0.014055266,0.200000003,-2.812670708,0.241998792,4.93E-05,1.002080917,-0.001808978,0.986648738,2.594443083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
