step,episode/action_changes,episode/actions_mean,episode/actions_std,episode_perf/constraint_index,episode_perf/energy_index,episode_perf/time_index,eval/episode_perf/constraint_index,eval/episode_perf/energy_index,eval/episode_perf/time_index,eval/max_reward_step_by_step,eval/mean_episode_reward,eval/mean_reward_step_by_step,eval/min_reward_step_by_step,eval/num_episodes_completed,eval/std_episode_reward,eval/std_reward_step_by_step,eval/total_reward_steps,episode/real_actions_Qp_max,episode/real_actions_Qp_mean,episode/real_actions_Qp_min,episode/real_actions_Qp_std,episode/real_actions_R_max,episode/real_actions_R_mean,episode/real_actions_R_min,episode/real_actions_R_std,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,eval/mean_ep_length,eval/mean_reward,eval/mean_reward_parent_check
9216,79.24408721923828,-0.008948061615228653,1.0012739896774292,0.566180944442749,0.7713803052902222,0.6343836784362793,1.3880157470703125,0.9095945358276367,0.6515616774559021,5.090892314910889,-84.00852966308594,-0.06013036519289017,-5.610221862792969,113.0,89.99285888671875,0.5757908225059509,9216.0,,,,,,,,,,,,,,,
18432,51.63937759399414,-0.047727201133966446,0.9924270510673523,1.2761729955673218,0.8487482666969299,0.6326582431793213,1.7751530408859253,0.9191239476203918,0.6495168805122375,4.854300498962402,-87.30278778076172,-0.05038411542773247,-5.348873138427734,115.0,95.66496276855469,0.5296728014945984,9216.0,8.0,3.929884672164917,0.0,2.8490219116210938,14.0,10.106462478637695,6.0,2.838059902191162,-2.8372843265533447,2.210580348968506,-0.00031198206124827266,4.8240885734558105,,,
27648,64.36186218261719,0.08460215479135513,1.2389259338378906,2.0292134284973145,1.0426585674285889,0.6667384505271912,1.2768610715866089,0.8670276999473572,0.6436216831207275,4.54364538192749,-78.8561782836914,-0.04239598289132118,-4.887231826782227,112.0,98.85076141357422,0.4994772672653198,9216.0,8.0,3.8900952339172363,0.0,2.8621327877044678,14.0,10.09011173248291,6.0,2.876894950866699,-2.833057403564453,1.7287050485610962,-0.0011731713311746716,3.659882068634033,,,
36864,122.1575698852539,-0.03234358876943588,0.985677182674408,0.27588707208633423,0.765075147151947,0.6645516753196716,1.284997820854187,0.8519526124000549,0.634078323841095,4.282215595245361,-74.8891372680664,-0.03540365770459175,-4.64905309677124,102.0,100.36954498291016,0.4588501453399658,9216.0,8.0,3.7920448780059814,0.0,2.840334892272949,14.0,10.115543365478516,6.0,2.8836140632629395,-2.8288044929504395,1.4098491668701172,-0.001862407079897821,3.384796380996704,,,
46080,826.6771240234375,-0.046389780938625336,1.009401798248291,1.0174044370651245,1.0707283020019531,0.7053576111793518,1.2400962114334106,0.8488463163375854,0.6356363892555237,4.240293502807617,-52.08189010620117,-0.02272232249379158,-4.5136613845825195,99.0,104.83653259277344,0.4400760233402252,9216.0,,,,,,,,,-2.826500177383423,1.2301102876663208,-0.0018634754233062267,2.8411507606506348,,,
49992,36.503665924072266,-0.10960201174020767,1.1272748708724976,1.1013380289077759,0.6578291654586792,0.6372560262680054,,,,,,,,,,,,8.0,3.684133291244507,0.0,2.8396739959716797,14.0,10.185966491699219,6.0,2.865171194076538,-2.8228354454040527,1.53066086769104,-0.0011332189897075295,3.109560966491699,264.25,-231.8550262451172,-inf
55296,237.6268310546875,0.0004271020588930696,1.0207778215408325,1.0292505025863647,0.6326528787612915,0.7324574589729309,1.3057128190994263,0.8455287218093872,0.6480236649513245,4.310223579406738,-61.93701171875,-0.02756042405962944,-4.538475513458252,100.0,104.10111999511719,0.43624189496040344,9216.0,,,,,,,,,,,,,,,
64512,28.315900802612305,-0.16371919214725494,0.9880861639976501,0.7931081652641296,0.7781922221183777,0.5753275156021118,1.325490951538086,0.8390067219734192,0.6411312222480774,4.073418140411377,-69.57484436035156,-0.027614543214440346,-4.379457473754883,96.0,100.40230560302734,0.42092448472976685,9216.0,8.0,3.566009283065796,0.0,2.832702159881592,14.0,10.214273452758789,6.0,2.8656890392303467,-2.8188257217407227,1.136786937713623,-0.00035719730658456683,2.9090731143951416,,,
73728,141.5054931640625,-0.09983481466770172,1.035934567451477,1.0856190919876099,0.7119410634040833,0.5957744717597961,1.2146044969558716,0.8276719450950623,0.6385910511016846,4.130470275878906,-41.92949676513672,-0.018514642491936684,-4.424850940704346,95.0,112.54496765136719,0.42027273774147034,9216.0,8.0,3.4693984985351562,0.0,2.825246572494507,14.0,10.224386215209961,6.0,2.860830307006836,-2.8164806365966797,1.3432697057724,-0.0018272438319399953,2.780989646911621,,,
82944,193.38604736328125,-0.23328009247779846,1.0022859573364258,1.4322577714920044,0.9970746636390686,0.7088889479637146,1.2474561929702759,0.8558660745620728,0.6383959650993347,4.042726039886475,-40.41999816894531,-0.015656396746635437,-4.313098907470703,92.0,103.68330383300781,0.40762990713119507,9216.0,,,,,,,,,-2.8126707077026367,1.0020809173583984,-0.0018089782679453492,2.5944430828094482,,,
